"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Etude de tête d'homme, le visage est presque totalement tourné";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";13;10;NA;"Mode d'acquisition non renseigné";"Acquisition";"5786";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007524"
"Deux têtes de paysannes, de profil l'une, l'autre de 3/4 tête baissée";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";18.7;22.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"5759";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007499"
"Pont Saint-Martin à Tolède";"Joseph PENNELL";NA;"";"1860, Philadelphie (Massachussetts, États-Unis) - 1926, New York (New York, États-Unis)";"Estampe";"Beau-forte et aquatinte sur papier vergé";22.7;28.2;1962;"Mode d'acquisition non renseigné";"Acquisition M Pineau Chaillou en 1962";"6226";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000075503"
"Idylle (Les bergers et le nid ?)";"Emmanuel PHELIPPES-BEAULIEUX";1862;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";3.5;5.2;1948;"Don";"Don de M Michel Noury en 1948";"3484";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005825"
"The game of marbles, New York";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";27.6;17.1;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3753";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082171"
"Le Bénédicité";"Germain DAVID-NILLET";1898;"Musée d'Arts - Palais - Salle  14";"1861, Paris (France) - 1932, ?";"Peinture";"Dans un intérieur de paysans, une femme debout de face dit le """"bénédicite"""" ; à sa gauche, un paysan recueilli ; un autre, vu de dos à droite, et un troisième au bout de la table, du même côté.Huile sur toile";161.8;181;1902;"Don";"Don de l'artiste en 1902";"887";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001586"
"Femme nue, les bras relevés";"Evariste-Vital LUMINAIS";1848;"";"1822?, Nantes (Loire-Atlantique, France) - 1896, Paris (France)";"Dessin";"Mine de plomb et craie blanche sur papier";27.5;20;1945;"Mode d'acquisition non renseigné";"Mode d'acquisition non renseigné Provenance inconnue en 1945";"3382";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005563"
"Scène de marché avec bohémienne disant la bonne aventure";"XVIIe ITALIE,";NA;"";"?, ? - ?, ?";"Peinture";"Huile sur toile";62.2;108.5;1810;"Achat";"Achat à M François Cacault en 1810";"?";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004839"
"Achille et le Centaure";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";23.5;23;NA;"Mode d'acquisition non renseigné";"Acquisition";"5072";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068172"
"Etude pour les feuilles mortes";"Alexandre CHANTRON";NA;"";"1842, Nantes (Loire-Atlantique, France) - 1918, Nantes (Loire-Atlantique, France)";"Dessin";"Fusain et mise au carreau sur papier brun";80.2;99.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"NI (2)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000121798"
"Mon jardin à St John's Wood";"James TISSOT";1878;"";"1836, Nantes (Loire-Atlantique, France) - 1902, Buillon (Doubs)";"Estampe";"Eau-forte sur papier vergé";18.7;11.5;1904;"Legs";"Legs de M Tissot en 1904";"3822";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005944"
"Etude de nu : tronc d'adolescent";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon sur papier";31.9;22.5;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.15.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003807"
"Diane de Poitiers présente à Henri II, assis près d'une cheminée, Philibert de Lorme, avec les plans du Louvre";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume et crayon sur papier";23.3;15.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5292";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068575"
"Jésus drapé suivi par le mauvais ange";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";27;18.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5573";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069385"
"Mouvements de lutteurs";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur feuille livre de comptes";18.2;26.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"5026";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067491"
"Motif d'ornement floral";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Pierre noire, rehauts de craie blanche sur papier brun";64.2;51.5;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.55.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003911"
"Vue près de Tivoli";"Prosper BARBOT";1833;"";"1798, Nantes (Loire-Atlantique, France) - 1878, Chambellay (Maine-et-Loire, France)";"Peinture";"Huile sur toile";100.2;76;1836;"Achat en salon";"Achat en salon en 1836";"798";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004037"
"Jeune fille nue drapée entourée d'un ange";"Alexandre CHANTRON";1905;"";"1842, Nantes (Loire-Atlantique, France) - 1918, Nantes (Loire-Atlantique, France)";"Dessin";"Craie noire, fusain, estompe et mise aux carreaux sur papier vergé filigrané";62;47.3;1918;"Don";"Don en 1918";"3355";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005489"
"Femme de dos et de face";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";31.5;21;NA;"Mode d'acquisition non renseigné";"Acquisition";"6077";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069828"
"Jeune homme gravissant les degrés, jambe gauche en avant";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain et craie sur papier";47;33;NA;"Mode d'acquisition non renseigné";"Acquisition";"5627";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069515"
"Déroute des Germains, après la bataille de Tolbiac";"Evariste-Vital LUMINAIS";1848;"";"1822?, Nantes (Loire-Atlantique, France) - 1896, Paris (France)";"Peinture";"Composition montrant de nombreux personnages dans l'extrême confusion de la déroute ; le motif principal est une charrette attelée de deux boeufs, portant une femme échevelée et trois soldats. Jusqu'à l'arrière plan, on distingue des cavaliers qui s'enfuient, des femmes et des enfants qui courent épouvantés. Cà et là, des cadavres d'hommes et de chevaux sont étendus.Huile sur toile";131.9;195.5;1848;"Achat";"Achat en 1848";"1091";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004239"
"Le prophète David";"Pietro VANNUCCI dit IL PERUGINO";NA;"Musée d'Arts - Palais - Salle 1";"1450?, Castello della Pieve (Italie) - 1523, Fontignano (Italie)";"Peinture";"Peinture, TondoBois transposé sur toile";NA;NA;NA;"Dépôt Etat";"AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1809";"117";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004509"
"Sainte femme, drapée, voilée et auréolée, le profil tourné vers la droite, le bras droit levé, une palme dans la main gauche ramenée vers la poitrine";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"mine de plomb";29;12;NA;"Mode d'acquisition non renseigné";"Acquisition";"1409";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007367"
"Un lutteur courant vers la gauche, bras gauche étendu";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb, trait au lavis sur papier calque";17.4;12.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"5023";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067488"
"Composition de trois personnages nus";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";23.5;31;NA;"Mode d'acquisition non renseigné";"Acquisition";"4981";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067445"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°34Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136349"
"Portrait d'homme de face";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Encre  sur papier";9.2;6;NA;"Mode d'acquisition non renseigné";"Acquisition";"sans inv.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000052804"
"Monseigneur Fournier devant le Christ. De chaque côté des anges agenouillés";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";18.1;34.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"1443";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000063941"
"Jeune homme assis de profil, main gauche au visage, qui est pensif. main droite allongée";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";31.3;18;NA;"Mode d'acquisition non renseigné";"Acquisition";"5930";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007754"
"Deux Amours, l'un de face, bras levés, l'autre tout à fait sur le côté droit";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier";26.6;19.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4937";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067403"
"Geneviève Vix, cantatrice";"Jean-Alexandre CORABOEUF";1911;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Peinture";"Huile sur toile";144;96;1918;"Don";"Don de M Geneviève Vix en 1918";"1972";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001544"
"Convalescence ; scène d'intérieur";"Léon Joseph BILLOTTE";NA;"";"1815, Dijon (Côte-d'Or, France) - 1886, Dijon (Côte-d'Or, France)";"Peinture";"Intérieur d'une chambre à Auzais (Vendée). A gauche, un jeune homme vue de profil, assis dans un lit à baldaguin, arni d'une étoffe verte et doublé d'une étoffe blanche à bande rose, tient de la main droite un livre refermé et parle à une jeune femme, debout à dr., au fond de la chambre où elle ouvre une armoire. Des meubles et divers objets. Les parois de la pièce sont tendues de tapisseries à verdures.bois";38.1;46.8;NA;"Achat en salon";"Achat en salon";"815";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007279"
"Buste de Gustave Geffroy";"Auguste RODIN";1905;"Musée d'Arts -  Palais - Salle 18";"1840, Paris (France) - 1917, Meudon (Hauts-de-Seine, France)";"Sculpture";"Buste,  épreuve tirée en 1932Plâtre";42;18;1932;"Don";"Don de la Société des amis du Musée des Beaux-Arts de Nantes en 1932";"2323bis";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003286"
"Intérieur de Saint-Gervais";"Germain DAVID-NILLET";1914;"";"1861, Paris (France) - 1932, ?";"Peinture";"Huile sur toile";98;80;NA;"Dépôt Etat";"Achat en 1918EtatDépôt au Musée des Beaux-Arts de Nantes en 1919";"6158 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001589"
"Rue Galande";"Auguste Louis LEPÈRE";1900;"";"1849, Paris (France) - 1918, Domme (Dordogne, France)";"Dessin";"Fusain, sanguine et rehauts de craie blanche sur carton fin brun";26.6;19.7;1902;"Don";"Don de M Lotz-Brissonneau en 1902";"1565";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008074"
"Portrait de Claude Crussard";"Amédée de LA PATELLIÈRE (Amédée DUBOIS DE LA PATELLIÈRE, dit)";1920;"";"1890, Vallet (Loire-Atlantique, France) - 1932, Paris (France)";"Dessin";"Pierre noire, lavis sur papier";63;48.1;1981;"Don";"Don de Suzanne et Yves de La Patellière en 1981";"981.11.3.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002365"
"Lettre d'Edgar Degas à James Tissot";"Edgar DEGAS (Hilaire Germain Edgar de GAS, dit)";1872;"";"1834, Paris (France) - 1917, Paris (France)";"Publication, livre, reliure";"Publication, livre, reliure, LettrePapier, encre";NA;NA;2014;"Achat";"Achat en 2014";"14.12.1.M";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000114863"
"Le """"serment de Brutus"""" : Brutus levant son poignard du bras droit";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";19.1;14.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5145";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068283"
"Etude d'Abraham. Travail des plis du manteau";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";21;13;NA;"Mode d'acquisition non renseigné";"Acquisition";"4315";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065144"
"La figure du Christ, dans le Baptême du Christ";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine";38;24;NA;"Mode d'acquisition non renseigné";"Acquisition";"1345";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000063881"
"Law Tennis";"John LAVERY";1884;"";"1856, Belfast (Irlande) - 1941, Kilmaganny (Irlande)";"Estampe";"Eau-forte et pointe sèche sur papier contrecollé sur carton";40.5;84;1945;"Mode d'acquisition non renseigné";"Mode d'acquisition non renseigné Provenance inconnue en 1945";"2831";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005752"
"Baigneuses";"Siméon FOUCAULT";1923;"";"1884, Nantes (Loire-Atlantique, France) - 1923, Paris (France)";"Sculpture";"Plâtre";198;228;1927;"Mode d'acquisition non renseigné";"Acquisition en 1927";"2326";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001829"
"Portrait de femme";"Amédée-Renée MÉNARD (Amédée-René MÉNARD, dit)";1838;"";"1806, Nantes (Loire-Atlantique, France) - 1879, Nantes (Loire-Atlantique, France)";"Dessin";"Mine de plomb sur papier";37;28;1899;"Don";"Don en 1899";"1589";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007930"
"Saint Vincent de Paul, vu de face";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";20;17.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5277";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068561"
"La Renommée";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon sur papier";38;20;1957;"Don";"Don Mme Duvergé en 1957";"6589(2)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000163988"
"Etude pour un visage de Christ, tête légèrement penchée, nimbe derrièr";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain et mine de plomb sur papier";16;14;NA;"Mode d'acquisition non renseigné";"Acquisition";"5783";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007521"
"Illustrations pour les Eglogues de Virgile";"Adolphe GIRALDON";1906;"";"1855, Marseille (Bouches-du-Rhône, France) - 1933, ?";"Estampe";"Estampe, EpreuveXylographie, tirage sur papier Arches";33.1;22.2;1925;"Don";"Don de l'artiste en 1925";"2508";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008255"
"Metropolitan Tower, New York";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";28.4;18.2;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3738(2)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082630"
"Alexandre et Diogène";"XVIIe ITALIE,";NA;"";"?, ? - ?, ?";"Peinture";"Huile sur toile";91.2;135.5;1810;"Achat";"Achat à M François Cacault en 1810";"2783";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004622"
"Déjanire se débat dans les bras de Nessus";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb, crayon brun sur papier calque";27.5;27.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5415";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068857"
"Adolphe Brisson / nos... chez eux... / Société d'édition artistique / 3234 rue Louis Le Grand, Pavillon de Hanovre, Paris (Projet de couverture)";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Mine de plomb, pierre noire, encre brune et rehauts de gouache blanche sur papier calque";49;39.9;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.100.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003956"
"Sujet genou gauche en terre";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb cernée d'un trait sur papier pelure";18.2;13.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4153";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065076"
"Café de la poissonnerie";"Jean-Emile LABOUREUR";1920;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier";28;22.7;1928;"Achat";"Achat à l'artiste en 1928";"2528";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002216"
"Allégorie";"Georges Victor HUGO";NA;"";"1868, Bruxelles (Belgique) - 1925, Paris (France)";"Dessin";"Crayon, craie jaune, plume et encre rouge sur papier";50.4;32.7;1945;"Mode d'acquisition non renseigné";"Mode d'acquisition non renseigné Provenance inconnue en 1945";"3387";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005550"
"Christ en croix";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";27.2;21.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4009";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064840"
"Apollon avec son cheval";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";11.4;13.4;NA;"Mode d'acquisition non renseigné";"Acquisition";"5582";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069475"
"Etude du nantonier de gauche";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";20;30.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"4372";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065207"
"Abraham lavant les pieds - étude de la draperie de son manteau";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb, fusain, craie et crayon brun sur papier";31.7;24.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4277";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007104"
"Eros";"Charles-Auguste LEBOURG";1877;"";"1829, Nantes (Loire-Atlantique, France) - 1906, Paris (France)";"Sculpture";"Sculpture, Bas-reliefTerre cuite";46;62;1892;"Legs";"Legs de M Emile André Aimé Cosse en 1892";"1819";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005138"
"Etude pour sainte Geneviève";"Nicolas-Auguste HESSE";1854;"";"1795, Paris (France) - 1869, Paris (France)";"Dessin";"Sanguine et craie blanche sur papier";NA;NA;1905;"Don";"Don de M Galimard en 1905";"1541";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007881"
"Deux mains d'homme dressées vers le ciel";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque collé";13.2;10;NA;"Mode d'acquisition non renseigné";"Acquisition";"6172";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000165588"
"Rienzi, acte V. Prière de Rienzi";"Henri FANTIN-LATOUR";1886;"";"1836, Grenoble (Isère, France) - 1904, Buré (Orne, France)";"Estampe";"Lithographie sur papier";22.6;14.7;1912;"Legs";"Legs en 1912";"3289";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008227"
"Homme assis sur une chaise, drapé dans son manteau";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier";28.2;23.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"5359";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068816"
"Combattant tenant une épée de la main droite, visage de profil";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume et crayon bleu sur papier";31.1;21.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5925";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007749"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1889;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";27.9;22.4;1925;"Don";"Don de Héritiers Merson en 1925";"2713";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143178"
"Etude de tronc d'arbre";"Henry PICOU";1890;"";"?, ? - ?, ?";"Dessin";"fusain";24.6;22.7;1986;"Don";"Don de Mme André Picou en 1986";"8821 ,  986.3.9.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005572"
"Les trois sujets ensemble : Dieu, Déesse et amour ailé, arc à la main";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque - mis au quadrillage";9.2;16;NA;"Mode d'acquisition non renseigné";"Acquisition";"4724";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066267"
"Chiens en peluche et chocolats";"Jean-Emile LABOUREUR";1929;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier";14.3;11.1;1973;"Achat";"Achat à la Galerie Arpège en 1973";"973.6.3.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000079234"
"Les trois merlans";"Jean-Emile LABOUREUR";NA;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier";27.9;22.5;1939;"Achat";"Achat à Jean-Emile Laboureur en 1939";"2659";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000079010"
"Carrefour Saint-Jacques";"Auguste Louis LEPÈRE";NA;"";"1849, Paris (France) - 1918, Domme (Dordogne, France)";"Dessin";"Crayon, fusain, lavis d'aquarelle sur papier contrecollé sur papier";24.2;23.3;1902;"Don";"Don de M Lotz-Brissonneau en 1902";"1564";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008073"
"Portrait du Marquis de Dion";"Marcel André BASCHET";NA;"";"1862, Gagny (Seine-Saint-Denis, France) - 1941, Paris (France)";"Peinture";"Huile sur toile";133;104;1933;"Don";"Don de Marquis de Dion en 1933";"2136";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001248"
"Le quai Conti, Paris";"Henry Wilfrid DEVILLE";1925;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";15.7;14;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3629";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142982"
"Le Pape Clément XIII";"Antonio CANOVA";1787;"Musée d'Arts - Palais - Salle 8";"1757, Possagno (Italie) - 1822, Venise (Italie)";"Sculpture";"BustePlâtre";104;68;1810;"Achat";"Achat en 1810";"1749";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004458"
"Jeune homme nu, tête en arrière, bras levés";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier";50;32;NA;"Mode d'acquisition non renseigné";"Acquisition";"5620";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069508"
"Divers délégués assis";"Charles TOCHÉ";NA;"";"1851, Nantes (Loire-Atlantique, France) - 1916, Paris (France)";"Dessin";"Crayon et mine de plomb sur papier contrecollé sur papier";26.1;23.6;1902;"Achat";"Achat à l'artiste en 1902";"1655";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003471"
"Rue de l'hôtel Colbert";"Auguste Louis LEPÈRE";NA;"";"1849, Paris (France) - 1918, Domme (Dordogne, France)";"Dessin";"Pierre noire, aquarelle et réhaus de craie blanche sur papier vergé contrecollé sur papier";19.7;17.6;1902;"Don";"Don de M Lotz-Brissonneau en 1902";"1575";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008084"
"Esquisse du plafond de la mairie de Levallois-Perret";"Jacques PATISSOU";NA;"";"1880, Nantes (Loire-Atlantique, France) - 1925, Paris (France)";"Peinture";"Huile sur toile";70;180.5;NA;"Dépôt Fonds municipal d'art contemporain";"AcquisitionFonds municipal d'art contemporainDépôt au Musée des Beaux-Arts de Nantes le 01/08/1927";"2046 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002963"
"Les jardins du TrocadéroCarte de voeux - Camille BLOCH1929";"Jean-Emile LABOUREUR";1928;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveLithographie, tirage sur papier";14.7;38.2;1966;"Don";"Don de Mme Laboureur en 1966";"966.12.38.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003838"
